Priority,Topic,Reason,Suggested Subtopics
medium,Youth & Families,10 subtopics never covered despite 10 articles in this area.,"child welfare, foster care, youth employment, after-school programs, child poverty, youth mental health, child abuse, runaway youth, youth violence prevention, summer programs"
medium,Technology & Surveillance,10 subtopics never covered despite 12 articles in this area.,"AI in government, digital divide, broadband access, facial recognition, algorithmic bias, smart city, data privacy, cybersecurity, edtech, govtech"
medium,Immigration,11 subtopics never covered despite 18 articles in this area.,"sanctuary city, workforce integration, ICE enforcement, deportation, immigration courts, language access, migrant shelters, work permits, unaccompanied minors, DACA, immigrant small business"
medium,Education,10 subtopics never covered despite 16 articles in this area.,"charter schools, literacy, special education, college access, DOE budget, school segregation, teacher shortage, school safety, absenteeism, gifted and talented"
medium,Health,9 subtopics never covered despite 14 articles in this area.,"opioid crisis, Medicaid, maternal mortality, lead poisoning, public hospitals, health insurance, COVID long-term effects, food insecurity, tobacco and vaping"
medium,Climate & Environment,9 subtopics never covered despite 19 articles in this area.,"heat deaths, environmental justice, coastal resilience, green buildings, urban tree canopy, waste and recycling, clean energy, superfund sites, water quality"
medium,Government & Accountability,7 subtopics never covered despite 22 articles in this area.,"FOIL transparency, campaign finance, city council oversight, public authorities, agency performance, inspector general, voter participation"
medium,Economy,6 subtopics never covered despite 24 articles in this area.,"small business, minimum wage, gig economy, commercial vacancies, childcare costs, tech industry"
medium,Transportation,4 subtopics never covered despite 24 articles in this area.,"bike safety, MTA funding, subway service, e-bikes and scooters"
medium,Public Safety,6 subtopics never covered despite 31 articles in this area.,"hate crimes, domestic violence, community violence intervention, police oversight, stop and frisk, gang violence"
low,Technology & Surveillance,"2 subtopics covered only once, suggesting shallow treatment.","surveillance, open data"
low,Education,"2 subtopics covered only once, suggesting shallow treatment.","school choice, pre-K"
low,Health,"2 subtopics covered only once, suggesting shallow treatment.","overdose prevention, health equity"
low,Climate & Environment,"2 subtopics covered only once, suggesting shallow treatment.","flooding, air quality"
low,Government & Accountability,"3 subtopics covered only once, suggesting shallow treatment.","city budget, mayoral power, lobbying"
low,Economy,"3 subtopics covered only once, suggesting shallow treatment.","workforce development, union labor, cost of living"
low,Transportation,"5 subtopics covered only once, suggesting shallow treatment.","bus lanes, pedestrian safety, street design, commuter rail, Vision Zero"
